Student Characteristics,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean
Gender
Female,3025,53.2%,3.18,43.8%,24.2%,211,12.6,7.7
Male,2660,46.8%,3.12,37.6%,23.9%,214,13.0,8.4
Ethnicity
African Am.,66,1.2%,3.02,42.4%,9.1%,210,14.1,8.5
Asian,2262,39.8%,3.12,43.1%,20.2%,213,12.7,7.9
Mexican Am.,459,8.1%,2.99,34.6%,13.5%,207,13.6,8.4
Filipino,287,5.0%,3.03,36.9%,17.4%,211,13.1,7.8
Latino,152,2.7%,3.08,34.9%,21.1%,210,13.4,7.8
Native Am.,28,0.5%,3.28,50.0%,28.6%,205,12.3,9.3
Caucasian,1675,29.5%,3.25,42.4%,30.5%,211,12.7,8.0
Other,756,13.3%,3.22,36.8%,32.3%,217,12.8,8.1
Disciplinary Area
Arts,219,3.9%,3.39,48.4%,37.9%,213,13.1,8.4
Humanities,255,4.5%,3.25,42.7%,29.0%,207,12.7,8.3
Engineering,756,13.3%,3.18,41.1%,26.1%,236,13.4,10.3
Science/Math,368,6.5%,3.17,39.1%,25.5%,220,12.9,8.5
Biology,1268,22.3%,3.17,41.7%,24.8%,218,12.8,8.3
Social Science,2816,49.5%,3.11,39.9%,21.5%,203,12.6,7.4
Dbl/Special,3,0.1%,3.50,66.7%,33.3%,202,12.0,--
College
Revelle,836,14.7%,3.13,39.0%,23.7%,221,13.0,9.0
Muir,1142,20.1%,3.20,43.0%,27.3%,12.4,8.2
Marshall,1014,17.8%,3.14,40.2%,22.7%,207,12.9,8.2
Warren,1119,19.7%,3.13,38.0%,23.9%,210,12.8,8.0
Roosevelt,829,14.6%,3.16,40.9%,25.3%,213,12.9,8.0
Sixth,745,13.1%,3.15,45.0%,20.4%,211,12.9,7.2
School Type
High School,3815,67.1%,3.20,43.9%,26.7%,215,12.8,--
2yr College,1756,30.9%,3.04,34.1%,18.9%,206,--,8.0
4yr College/Univ.,98,1.7%,3.16,48.0%,18.4%,216,--,--
Unknown,16,0.3%,2.92,31.3%,6.3%,214,--,--
First Generation College Status
First Generation,1395,24.5%,3.03,38.8%,15.2%,212,13.2,9.2
Not First Generation,4290,75.5%,3.19,41.6%,27.0%,212,12.7,7.7
Income
High: > $98401,1287,22.6%,3.25,44.2%,30.4%,214,12.4,8.6
Medium High: $65601 - $98400,609,10.7%,3.16,43.5%,22.8%,213,12.5,8.6
Medium Low: $32801 - $65600,980,17.2%,3.09,41.9%,18.5%,213,13.0,8.8
Low: < $32800,1020,17.9%,3.01,37.6%,13.9%,213,13.4,9.9
Missing/Undeclared,1789,31.5%,3.20,38.8%,28.8%,210,12.7,7.3
Total Population,5685,100.0%,3.15,40.9%,24.1%,212,12.8,8.0

Arts
Gender
Female,129,58.9%,3.43,42.6%,45.0%,214,12.8,7.8
Male,90,41.1%,3.33,56.7%,27.8%,213,13.5,9.1
Ethnicity
African Am.,3,1.4%,3.37,100.0%,0.0%,198,15.0,8.5
Asian,63,28.8%,3.39,60.3%,33.3%,209,12.3,7.7
Mexican Am.,32,14.6%,3.33,46.9%,31.3%,212,14.6,9.0
Filipino,13,5.9%,3.20,38.5%,23.1%,203,13.1,7.8
