Year,College,N,%,GPA Mean,% GPA > 3.0,% GPA > 3.5,Units Mean,Freshman Mean,Transfer Mean,Disciplinary Area
2000-2001,Revelle,11.0,5.1%,3.23,82%,9%,220.0,12.699999999999999,,Arts
2000-2001,Muir,61.0,28.5%,3.3500000000000001,88%,33%,202.0,12.699999999999999,8.5999999999999996,Arts
2000-2001,Marshall,54.0,25.2%,3.3700000000000001,83%,44%,212.0,13.9,7.4000000000000004,Arts
2000-2001,Warren,52.0,24.3%,3.23,75%,19%,201.0,13.300000000000001,8.1999999999999993,Arts
2000-2001,Roosevelt,36.0,16.8%,3.27,75%,31%,210.0,14.4,9.0,Arts
2000-2001,Revelle,28.0,10.3%,3.1000000000000001,61%,14%,213.0,14.0,8.5,Humanities
2000-2001,Muir,82.0,30.0%,3.1600000000000001,72%,20%,198.0,13.300000000000001,7.2999999999999998,Humanities
2000-2001,Marshall,55.0,20.1%,3.0099999999999998,56%,9%,201.0,13.9,6.9000000000000004,Humanities
2000-2001,Warren,38.0,13.9%,3.1400000000000001,66%,26%,198.0,14.4,8.3000000000000007,Humanities
2000-2001,Roosevelt,70.0,25.6%,3.23,74%,26%,205.0,13.300000000000001,7.5,Humanities
2000-2001,Revelle,89.0,16.5%,3.1200000000000001,63%,26%,237.0,14.0,10.199999999999999,Engineering
2000-2001,Muir,84.0,15.6%,3.0899999999999999,58%,17%,223.0,13.9,9.6999999999999993,Engineering
2000-2001,Marshall,58.0,10.7%,3.0600000000000001,53%,12%,221.0,13.9,9.0999999999999996,Engineering
2000-2001,Warren,282.0,52.2%,3.1099999999999999,62%,18%,219.0,13.6,9.5999999999999996,Engineering
2000-2001,Roosevelt,27.0,5.0%,3.1200000000000001,75%,19%,238.0,14.6,10.5,Engineering
2000-2001,Revelle,313.0,30.4%,3.1299999999999999,64%,27%,216.0,13.1,10.0,Science/Math
2000-2001,Muir,222.0,21.6%,3.1600000000000001,57%,23%,210.0,13.1,8.8000000000000007,Science/Math
2000-2001,Marshall,195.0,19.0%,3.0099999999999998,61%,20%,206.0,13.300000000000001,8.8000000000000007,Science/Math
2000-2001,Warren,243.0,23.6%,3.0600000000000001,55%,22%,209.0,13.0,8.9000000000000004,Science/Math
2000-2001,Roosevelt,56.0,5.4%,3.0499999999999998,56%,11%,215.0,13.6,9.9000000000000004,Science/Math
2000-2001,Revelle,206.0,12.5%,3.02,52%,13%,205.0,12.800000000000001,12.199999999999999,Social Science
2000-2001,Muir,397.0,24.1%,3.1499999999999999,66%,18%,196.0,12.6,7.5999999999999996,Social Science
2000-2001,Marshall,439.0,26.6%,3.1200000000000001,63%,19%,194.0,12.9,7.9000000000000004,Social Science
2000-2001,Warren,353.0,21.4%,3.0699999999999998,56%,19%,194.0,13.0,7.5999999999999996,Social Science
2000-2001,Roosevelt,254.0,15.4%,3.1699999999999999,69%,21%,199.0,12.9,7.7000000000000002,Social Science
2001-2002,Revelle,23.0,9.7%,3.02,48%,13%,208,14.5,14.3,Arts
2001-2002,Muir,89.0,37.7%,3.32,52%,30%,204,13.2,9.0,Arts
2001-2002,Marshall,60.0,25.4%,3.22,55%,22%,198,13.5,7.6,Arts
2001-2002,Warren,37.0,15.7%,3.23,43%,30%,197,14.5,7.8,Arts
2001-2002,Roosevelt,27.0,11.4%,3.31,63%,22%,208,13.2,9.3,Arts
2001-2002,Revelle,25.0,10.2%,3.05,52%,4%,220,14.3,14.5,Humanities
2001-2002,Muir,78.0,32.0%,3.21,47%,26%,200,13.3,7.5,Humanities
2001-2002,Marshall,41.0,16.8%,3.25,46%,29%,202,13.8,8.3,Humanities
2001-2002,Warren,39.0,16.0%,3.02,44%,10%,198,13.8,7.6,Humanities
2001-2002,Roosevelt,61.0,25.0%,3.18,31%,26%,204,13.7,11.4,Humanities
2001-2002,Revelle,121.0,21.5%,3.18,41%,23%,241,14.0,10.1,Engineering
2001-2002,Muir,85.0,15.1%,3.13,46%,20%,223,14.1,10.5,Engineering
2001-2002,Marshall,68.0,12.1%,2.93,44%,3%,220,14.2,8.8,Engineering
2001-2002,Warren,262.0,46.5%,3.06,41%,15%,218,13.5,9.8,Engineering
2001-2002,Roosevelt,27.0,4.8%,2.96,48%,4%,235,14.8,8.8,Engineering
